FUSSGAENGE,EINBAHN,RADSTREIFE,ONEWAY_FT,ONEWAY_TF,HOEHE_ANFA,HOEHE_ENDE,RADWEG,LOKALISATI,VELOWEGE_M,SHAPE_Leng,ID
0,0,0,0,0,451.25149917000,451.25388769000,0,Ruchackerstrasse,0,4.43478554197,9936
0,0,0,0,0,415.11476500000,414.86764125000,0,Wuhrstrasse,0,59.98659300340,9937
0,0,0,0,0,411.74447000000,412.27282340000,0,Altenhofstrasse,0,8.39910627795,9938
0,0,0,0,0,474.85772375000,474.71882318000,0,Scheuchzerstrasse,1,26.59089219860,9939
0,0,0,0,0,464.56897538000,460.62647843000,0,Hoffeld,0,59.17331498390,9940
0,0,0,0,0,467.46106571000,467.84775583000,0,Malvenstrasse,0,53.36256376730,9941
0,0,0,0,0,408.17870840000,407.91311042000,0,Bullingerstrasse,0,260.35282611000,9942
0,FT,0,0,1,506.79978000000,507.95949200000,0,Gellertstrasse,0,121.81140456700,9943
0,0,0,0,0,405.25381050000,405.06029667000,0,Emilie-Kempin-Spyri-Weg,0,3.90473672501,9944
0,FT,0,0,1,435.03370250000,437.69681929000,0,Kirchenfeld,0,184.91078315400,9945
0,0,0,0,0,453.24925250000,450.49461759000,0,MÃ¼hlackerstrasse,1,113.69296057000,9946
1,0,0,0,0,425.44341950000,428.76713176000,0,Salzweg,1,111.23480849700,9947
0,0,0,0,0,432.05519158000,429.92777735000,0,Siewerdtstrasse,0,82.93173397720,9948
0,0,0,0,0,525.38773167000,527.78398912000,0,Frohburgstrasse,1,37.31382133090,9949
1,0,0,0,0,469.92039630000,468.59783500000,0,Primelstrasse,0,103.32561590800,9950
0,0,0,0,0,440.65317000000,443.89007000000,0,Unionstrasse,0,110.72938305500,9951
0,0,0,0,0,514.24586600000,514.41014000000,0,Burenweg,0,4.22286786643,9952
1,0,0,0,0,502.95583333000,470.20457523000,0,Murwiesenweg,0,369.50187188700,9953
0,0,0,0,0,521.21938000000,521.24616725000,0,Rislingstrasse,0,3.06370799830,9954
0,0,0,0,0,425.34502217000,425.25851733000,0,Riedgrabenweg,1,18.48997738760,9955
1,0,0,0,0,435.70757293000,433.87833434000,0,Am Katzenbach / Katzenbachstrasse 10,0,37.50893342040,9956
0,0,0,0,0,424.91788000000,426.99170000000,0,Minervastrasse,1,115.74125088700,9957
0,0,FT,0,0,406.90564207000,406.79618936000,0,EichbÃ¼hlstrasse,1,136.64799658000,9958
0,0,0,0,0,407.59426750000,416.92859300000,0,Am Wettingertobel,1,64.20892260740,9959
0,0,0,0,0,409.08522314000,409.11612595000,0,BÃ¤rengasse,1,43.45738916150,9960
0,0,0,0,0,486.98367000000,491.50522500000,0,Rebbergstrasse,1,135.95677189700,9961
1,FT,0,0,1,463.99682600000,475.23213000000,0,Obere Weiherstrasse,0,72.39318990600,9962
0,0,TF,0,0,419.07561571000,418.58440875000,0,Schrennengasse,0,251.93349826500,9963
1,0,0,0,0,431.76105125000,431.66972400000,0,Am Katzenbach / Glatttalstrasse 10,1,16.07956644460,9964
0,0,0,0,0,488.43618000000,503.83270600000,0,Hegianwandweg,0,174.36605696500,9965
0,0,0,0,0,490.53048188000,491.46987911000,0,Uetliberghalde,0,136.86607699500,9966
0,FT,0,0,1,414.09132478000,414.80763182000,0,Stationsstrasse,0,58.97481012200,9967
1,0,0,0,0,490.59423250000,492.01742357000,0,Giblenstrasse,1,165.19994154000,9968
0,0,0,0,0,484.40151741000,488.75719833000,0,Milchbuckstrasse,0,123.91028649200,9969
1,0,0,0,0,424.47193179000,422.41684100000,0,Letzigraben Ãœberquerung 105,0,23.35063507410,9970
0,FT,0,0,1,440.08075682000,435.26738214000,0,Kirchenfeld,0,140.35042324500,9971
0,0,0,0,0,408.74058098000,410.00461500000,0,Lavaterstrasse,1,167.00531912500,9972
1,0,0,0,0,409.24804667000,409.86381375000,0,Winzerhalde,1,25.06253215450,9973
0,0,0,0,0,405.54771571000,405.74230183000,0,Johannesgasse,0,8.03186515012,9974
1,0,0,0,0,446.70160269000,446.71696000000,0,Lyrenweg,1,285.70785925000,9975
1,0,0,0,0,445.30222740000,444.43620000000,0,Oberwiesenstrasse,1,45.98182233930,9976
0,0,0,0,0,421.43925881000,422.21326662000,0,LanggrÃ¼tstrasse,1,225.87087146100,9977
0,0,0,0,0,408.01068348000,407.93018810000,0,Nussgasse,0,6.83622654455,9978
1,0,0,0,0,514.55165667000,514.32907733000,0,Kettberg,0,7.85542274256,9979
0,0,FT,0,0,493.44540667000,495.77151000000,0,MÃ¶hrlistrasse,0,272.11601756300,9980
0,0,0,0,0,530.72668500000,534.28105000000,0,Burenweg,0,57.28996810490,9981
0,0,0,0,0,451.44385409000,446.75830125000,0,Stettbacherrain,0,111.25077397000,9982
0,0,0,0,0,439.37387000000,447.38632667000,0,Tobeleggstrasse,1,83.88164359160,9983
1,0,0,0,0,467.04793500000,468.54340050000,0,Familiengartenareal Lochen / Albisstrasse 10,0,441.50002917500,9984
1,0,0,0,0,463.24137000000,460.22539630000,0,Regulastrasse,0,58.12310796050,9985
0,0,0,0,0,471.09555067000,471.59990900000,0,Murwiesenstrasse,0,36.63062475150,9986
0,0,0,0,0,461.89040500000,460.01076640000,0,Carmenstrasse,1,43.49369136490,9987
1,0,0,0,0,470.22145333000,470.54422167000,0,Anton-Higi-Strasse,1,20.02123635550,9988
